timID,treatment,site,phenotype,length.28mar,sex,adult.28mar,feed.shmp.28mar,feed.shmp.31mar,t1drop?.1apr,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,notes.1apr,drop.2apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr,notes.2apr,feed.shmp.9apr,feed.shmp.13apr,feed.shmp.15apr,t1beh.16apr,t2beh.16apr,t3beh.16apr,t4beh.16apr,t5beh.16apr,t1beh.17apr,t2beh.17apr,t3beh.17apr,t4beh.17apr,t5beh.17apr,length.18apr,notes.18apr,smp.24apr,latency.24apr
26,control,FHA,striped,9,M?,N,N,Y,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,Y,sit,19,sit,0.5,sit,sit,sit,sit,sit,sit,19,,,
29,control,FHA,green,9,F?,N,N,Y,NA,NA,NA,NA,NA,NA,short shrimp,,,,,,,,Y,,N,run,sit,sit,sit,run,sit,sit,sit,sit,run,17,,,
31,control,FHA,striped,7,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,Y,N,sit,run,run,run,run,sit,sit,run,run,run,13,,,
37,control,FHA,striped,9,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,run,run,run,run,run,run,run,sit,run,13,,,
39,control,FHA,green,7,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,Y,,N,run,run,run,run,run,sit,sit,run,run,run,15,,,
40,control,FHA,grey,9,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,Y,nematode,dead,,,,,,,,,,,dead,,,
43,control,FHA,striped,11,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,run,run,run,sit,sit,run,run,run,sit,20,,,
44,control,FHA,striped,9,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,run,sit,sit,sit,sit,sit,sit,sit,sit,17,,,
45,control,FHA,striped,9,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,sit,sit,sit,run,sit,sit,sit,sit,sit,18,,,
46,control,FHA,striped,8,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,Y,N,run,run,run,run,run,sit,sit,sit,run,run,14,,,
48,control,FHA,striped,11,M?,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,run,run,run,run,run,run,run,run,run,15,,,
50,control,FHA,green,12,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,run,run,run,run,run,run,run,run,run,sit,16,,,
58,control,FHA,striped,12,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,run,run,run,run,run,sit,sit,run,sit,run,22,,,
59,control,FHA,striped,12,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,Y,N,run,run,run,run,run,run,run,run,run,run,15,,,
60,control,FHA,striped,11,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,run,run,run,run,sit,run,run,run,run,21,,,
62,control,FHA,striped,10,F,N,N,N,NA,NA,NA,NA,NA,NA,"failure to molt, messed up",,,,,,,,dead,,N,,,,,,,,,,,dead,,,
63,control,FHA,striped,8,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,Y,N,sit,sit,sit,sit,run,sit,sit,sit,sit,sit,17,,,
64,control,FHA,striped,10,F,N,N,Y,NA,NA,NA,NA,NA,NA,,,,,,,,,Y,,y,0.5,sit,sit,run,sit,sit,sit,sit,sit,sit,17,,,
67,control,FHA,striped,12,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,Y,N,0.5,run,run,run,sit,run,run,sit,run,run,15,,,
68,control,FHA,green,11,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,dead,,N,,,,,,,,,,,dead,,,
69,control,FHA,striped,13,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,run,run,run,sit,run,run,sit,run,run,run,15,,,
71,control,FHA,striped,8,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,Y,,y,sit,run,run,0.5,sit,sit,sit,sit,sit,sit,15,,,
72,control,FHA,striped,10,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,run,run,run,run,run,sit,run,run,run,sit,14,,,
74,control,FHA,striped,10,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,sit,0.5,sit,run,sit,run,run,run,run,14,,,
75,control,FHA,striped,11,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,run,sit,sit,run,sit,sit,sit,run,sit,20,,,
76,control,FHA,striped,9,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,run,sit,sit,run,run,sit,sit,300,sit,sit,15,,,
77,control,FHA,green,10,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,0.5,run,run,0.5,sit,run,run,sit,sit,16,,,
78,control,FHA,striped,9,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,run,sit,run,run,run,run,run,run,run,run,15,,,
79,control,FHA,striped,11,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,sit,sit,run,run,run,run,run,run,run,15,,,
80,control,FHA,striped,9,M,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,run,run,run,run,run,run,run,run,run,run,14,,,
81,control,FHA,striped,8,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,sit,sit,sit,sit,sit,sit,run,sit,run,13,,,
82,control,FHA,striped,9,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,sit,sit,run,run,sit,run,run,run,run,20,,,
83,control,FHA,striped,10,F,N,N,N,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,sit,run,run,run,run,run,run,run,run,18,,,
84,control,FHA,striped,7,F,N,N,Y,NA,NA,NA,NA,NA,NA,,,,,,,,,N,,N,sit,run,run,sit,run,sit,sit,run,run,run,12,,,
M2,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M4,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M6,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M8,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2
M10,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M12,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M14,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M16,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M18,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M20,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M22,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M24,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M26,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M28,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M30,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M32,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M34,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M36,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M38,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M40,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M42,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M44,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M46,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M48,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M50,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M52,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M54,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M56,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M58,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M60,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M62,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M64,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M66,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M68,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M70,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M72,moist,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M1,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M3,dry,FHA/N1,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
